date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:50:34	212359/212359	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:50:34%20GMT	https://www.fonehouse.co.uk/mobile-phone-deals/iphone-12-5g	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/mobile-phone-deals/iphone-12-5g.html	(from https://www.fonehouse.co.uk/)
21:50:36	212687/212687	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:50:35%20GMT	https://www.fonehouse.co.uk/mobile-phone-deals/iphone-12-mini-5g	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/mobile-phone-deals/iphone-12-mini-5g.html	(from https://www.fonehouse.co.uk/)
21:50:36	193979/193979	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:50:36%20GMT	https://www.fonehouse.co.uk/mobile-phone-deals/samsung-galaxy-s22-5g	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/mobile-phone-deals/samsung-galaxy-s22-5g.html	(from https://www.fonehouse.co.uk/)
21:50:37	235330/235330	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:50:37%20GMT	https://www.fonehouse.co.uk/mobile-phone-deals/iphone-se-5G	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/mobile-phone-deals/iphone-se-5G.html	(from https://www.fonehouse.co.uk/)
21:50:39	1309/1309	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2262daa544-51d%22	https://www.fonehouse.co.uk/images/header/nav/upgrade.svg	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/images/header/nav/upgrade.svg	(from https://www.fonehouse.co.uk/)
21:50:40	168692/168692	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:50:39%20GMT	https://www.fonehouse.co.uk/mobile-phone-upgrade-deals	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/mobile-phone-upgrade-deals.html	(from https://www.fonehouse.co.uk/)
21:50:40	154979/154979	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:50:40%20GMT	https://www.fonehouse.co.uk/sim-free-phones	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/sim-free-phones.html	(from https://www.fonehouse.co.uk/)
21:50:41	2341/2341	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2262daa545-925%22	https://www.fonehouse.co.uk/images/header/nav/simfree.svg	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/images/header/nav/simfree.svg	(from https://www.fonehouse.co.uk/)
21:50:42	142628/142628	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:50:42%20GMT	https://www.fonehouse.co.uk/refurbished-mobile-phone-deals	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/refurbished-mobile-phone-deals.html	(from https://www.fonehouse.co.uk/)
21:50:43	167365/167365	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:50:43%20GMT	https://www.fonehouse.co.uk/5g-mobile-phone-deals	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/5g-mobile-phone-deals.html	(from https://www.fonehouse.co.uk/)
